row_number,level,reason,raw
330,error,codebarre vacio,"{'Articulo': 'Audifono SUPERB  NIA    NIA - X3  Pza.', 'cantidad': '3', 'codebarre': nan, 'Disponibilidad': '0', 'DiasparaVenc': nan, 'Precio_Venta': '130'}"
374,error,codebarre vacio,"{'Articulo': 'CABLE V3 GENERICO       PARA DATOS  Pza.', 'cantidad': '20', 'codebarre': nan, 'Disponibilidad': '0', 'DiasparaVenc': nan, 'Precio_Venta': '25'}"
377,error,codebarre vacio,"{'Articulo': 'CABLE ADAPTADOR IPHONE AUXILIAR      GENERICO  Pza.', 'cantidad': '2', 'codebarre': nan, 'Disponibilidad': '0', 'DiasparaVenc': nan, 'Precio_Venta': '25'}"
378,error,codebarre vacio,"{'Articulo': 'ADAPTADOR DVI A VGA        Pza.', 'cantidad': '0', 'codebarre': nan, 'Disponibilidad': '0', 'DiasparaVenc': nan, 'Precio_Venta': '25'}"
383,error,codebarre vacio,"{'Articulo': 'PAPEL A3D  SATURA  33*48  MATE  Pza.', 'cantidad': '1', 'codebarre': nan, 'Disponibilidad': '0', 'DiasparaVenc': nan, 'Precio_Venta': '350'}"
384,error,codebarre vacio,"{'Articulo': 'Reproductor DVD  LG    DP547  Pza.', 'cantidad': '0', 'codebarre': nan, 'Disponibilidad': '0', 'DiasparaVenc': nan, 'Precio_Venta': '300'}"
419,error,codebarre vacio,"{'Articulo': 'Reproductor DVD  LG    DP132  Pza.', 'cantidad': '0', 'codebarre': nan, 'Disponibilidad': '0', 'DiasparaVenc': nan, 'Precio_Venta': '280'}"
472,error,codebarre vacio,"{'Articulo': 'Dvds  CURSOR  4.7GB    Und.', 'cantidad': '5027', 'codebarre': nan, 'Disponibilidad': '0', 'DiasparaVenc': nan, 'Precio_Venta': '1.5'}"
475,error,codebarre vacio,"{'Articulo': 'Adaptador MHL      UNIVERSAL  Pza.', 'cantidad': '3', 'codebarre': nan, 'Disponibilidad': '0', 'DiasparaVenc': nan, 'Precio_Venta': '65'}"
476,error,codebarre vacio,"{'Articulo': 'Parlante   MUSKY    DY-28  Pza.', 'cantidad': '1', 'codebarre': nan, 'Disponibilidad': '0', 'DiasparaVenc': nan, 'Precio_Venta': '250'}"
496,error,codebarre vacio,"{'Articulo': 'Mochila PLOMO        Pza.', 'cantidad': '1', 'codebarre': nan, 'Disponibilidad': '0', 'DiasparaVenc': nan, 'Precio_Venta': '260'}"
497,error,codebarre vacio,"{'Articulo': 'tapa para lente   nikon    52MM  Pza.', 'cantidad': '2', 'codebarre': nan, 'Disponibilidad': '0', 'DiasparaVenc': nan, 'Precio_Venta': '41'}"
498,error,codebarre vacio,"{'Articulo': 'RELOJ  Casio    IQ-59ADF/1BDF  Pza.', 'cantidad': '1', 'codebarre': nan, 'Disponibilidad': '0', 'DiasparaVenc': '-2316', 'Precio_Venta': '120'}"
579,error,codebarre vacio,"{'Articulo': 'TINTA  JHOROMI  1/2 LITRO  NEGRO  Pza.', 'cantidad': '6', 'codebarre': nan, 'Disponibilidad': '0', 'DiasparaVenc': nan, 'Precio_Venta': '78'}"
580,error,codebarre vacio,"{'Articulo': 'TINTA  JHOROMI  1/2 LITRO  CIAN  Pza.', 'cantidad': '6', 'codebarre': nan, 'Disponibilidad': '0', 'DiasparaVenc': nan, 'Precio_Venta': '78'}"
597,error,codebarre vacio,"{'Articulo': 'CORTAPELO  WAHL  CORDER CLIPPER  DESIGNER  Pza.', 'cantidad': '0', 'codebarre': nan, 'Disponibilidad': '0', 'DiasparaVenc': nan, 'Precio_Venta': '465'}"
600,error,codebarre vacio,"{'Articulo': 'PARLANTE  GENIUS    SW 2.1 385  Pza.', 'cantidad': '0', 'codebarre': nan, 'Disponibilidad': '0', 'DiasparaVenc': nan, 'Precio_Venta': '350'}"
602,error,codebarre vacio,"{'Articulo': 'Bateria  Canon    BP-808 SL  Pza.', 'cantidad': '1', 'codebarre': nan, 'Disponibilidad': '0', 'DiasparaVenc': nan, 'Precio_Venta': '210'}"
603,error,codebarre vacio,"{'Articulo': 'Cargador bateria  Canon    NB-13L  Pza.', 'cantidad': '0', 'codebarre': nan, 'Disponibilidad': '0', 'DiasparaVenc': nan, 'Precio_Venta': '150'}"
605,error,codebarre vacio,"{'Articulo': 'AUDIFONO  SONY    XB450  Pza.', 'cantidad': '3', 'codebarre': nan, 'Disponibilidad': '0', 'DiasparaVenc': nan, 'Precio_Venta': '135'}"
609,error,codebarre vacio,"{'Articulo': 'Mando copia PS4  SONY      Pza.', 'cantidad': '1', 'codebarre': nan, 'Disponibilidad': '0', 'DiasparaVenc': nan, 'Precio_Venta': '380'}"
613,error,codebarre vacio,"{'Articulo': 'ARO LED      LIVE STREAM  Pza.', 'cantidad': '1', 'codebarre': nan, 'Disponibilidad': '0', 'DiasparaVenc': nan, 'Precio_Venta': '100'}"
614,error,codebarre vacio,"{'Articulo': 'ARO LED  SELFIE RING    AL-16  Pza.', 'cantidad': '1', 'codebarre': nan, 'Disponibilidad': '0', 'DiasparaVenc': nan, 'Precio_Venta': '110'}"
615,error,codebarre vacio,"{'Articulo': 'ARO LED  RING FILL LIGHT  12´´  CON PEDESTAL  Pza.', 'cantidad': '2', 'codebarre': nan, 'Disponibilidad': '0', 'DiasparaVenc': nan, 'Precio_Venta': '180'}"
618,error,codebarre vacio,"{'Articulo': 'Salteñera   sencilla    ECONOMICA  Pza.', 'cantidad': '0', 'codebarre': nan, 'Disponibilidad': '0', 'DiasparaVenc': nan, 'Precio_Venta': '150'}"
619,error,codebarre vacio,"{'Articulo': 'Tripode de mesa colores        Pza.', 'cantidad': '2', 'codebarre': nan, 'Disponibilidad': '0', 'DiasparaVenc': nan, 'Precio_Venta': '50'}"
628,error,codebarre vacio,"{'Articulo': 'AUDIFONO   SAMSUNG  CONTESTADOR/VOLUMEN  EO-EG920BW  Pza.', 'cantidad': '1', 'codebarre': nan, 'Disponibilidad': '0', 'DiasparaVenc': nan, 'Precio_Venta': '60'}"
632,error,codebarre vacio,"{'Articulo': 'ESTUCHE PARA DISCO DURO        Pza.', 'cantidad': '2', 'codebarre': nan, 'Disponibilidad': '0', 'DiasparaVenc': nan, 'Precio_Venta': '40'}"
654,error,codebarre vacio,"{'Articulo': 'CARGADOR BATERIA  NIKON    EN-EL20A-MH-27  Pza.', 'cantidad': '1', 'codebarre': nan, 'Disponibilidad': '0', 'DiasparaVenc': nan, 'Precio_Venta': '151'}"
657,error,codebarre vacio,"{'Articulo': 'Cable RCA PARA DVD    1,8 mt  GENERICO  Pza.', 'cantidad': '15', 'codebarre': nan, 'Disponibilidad': '0', 'DiasparaVenc': nan, 'Precio_Venta': '15'}"
658,error,codebarre vacio,"{'Articulo': 'Cable AUXILIAR A USB  hembra    GENERICO  Pza.', 'cantidad': '4', 'codebarre': nan, 'Disponibilidad': '0', 'DiasparaVenc': nan, 'Precio_Venta': '15'}"
673,error,codebarre vacio,"{'Articulo': 'SOPORTE PARA AUTO      HJ-ZL-42  Pza.', 'cantidad': '2', 'codebarre': nan, 'Disponibilidad': '0', 'DiasparaVenc': nan, 'Precio_Venta': '20'}"
678,error,codebarre vacio,"{'Articulo': 'SUJETADOR DE MANO      CAMERA GRIP  Pza.', 'cantidad': '2', 'codebarre': nan, 'Disponibilidad': '0', 'DiasparaVenc': nan, 'Precio_Venta': '80'}"
679,error,codebarre vacio,"{'Articulo': 'SUJETADOR DE MUÑECA      CAMERA GRIP  Pza.', 'cantidad': '2', 'codebarre': nan, 'Disponibilidad': '0', 'DiasparaVenc': nan, 'Precio_Venta': '100'}"
704,error,codebarre vacio,"{'Articulo': 'Cargador bateria   NIKON    MH-27/EN-EL20  Pza.', 'cantidad': '2', 'codebarre': nan, 'Disponibilidad': '0', 'DiasparaVenc': nan, 'Precio_Venta': '150'}"
706,error,codebarre vacio,"{'Articulo': 'Tapa para lente    55mm  SIN MARCO  Pza.', 'cantidad': '1', 'codebarre': nan, 'Disponibilidad': '0', 'DiasparaVenc': nan, 'Precio_Venta': '40'}"
823,error,cantidad vacio,"{'Articulo': 'LED-336    20W    Pza.', 'cantidad': nan, 'codebarre': '4607117465881', 'Disponibilidad': nan, 'DiasparaVenc': nan, 'Precio_Venta': '1200'}"
849,error,Articulo vacio,"{'Articulo': nan, 'cantidad': nan, 'codebarre': nan, 'Disponibilidad': nan, 'DiasparaVenc': nan, 'Precio_Venta': nan}"
854,error,codebarre vacio,"{'Articulo': 'Adaptador HDMI a display port', 'cantidad': nan, 'codebarre': nan, 'Disponibilidad': nan, 'DiasparaVenc': nan, 'Precio_Venta': '30'}"
855,error,codebarre vacio,"{'Articulo': 'Adaptador HDMI a display port', 'cantidad': nan, 'codebarre': nan, 'Disponibilidad': nan, 'DiasparaVenc': nan, 'Precio_Venta': '30'}"
868,error,codebarre vacio,"{'Articulo': 'QUEMADOR LECTOR INTERNO RW', 'cantidad': nan, 'codebarre': nan, 'Disponibilidad': nan, 'DiasparaVenc': nan, 'Precio_Venta': '189'}"
914,error,cantidad vacio,"{'Articulo': 'AUDIFONO BLOUTOO  EWTTO FUTBOL Pza.', 'cantidad': nan, 'codebarre': '6925871647939', 'Disponibilidad': '0', 'DiasparaVenc': nan, 'Precio_Venta': '90'}"
4,warning,cantidad negativa -90; se cargo como 0,"{'Articulo': 'Bolsa CD BELEN 100 CD Pza.', 'codebarre': 'BOLSACD'}"
8,warning,cantidad negativa -1; se cargo como 0,"{'Articulo': 'Telefono Panasonic dual KXTGB212 Pza.', 'codebarre': '5025232766758'}"
10,warning,cantidad negativa -1; se cargo como 0,"{'Articulo': 'Telefono Panasonic pantalla TS880MX Pza.', 'codebarre': 'KX-TS880MXW'}"
46,warning,cantidad negativa -1; se cargo como 0,"{'Articulo': 'Calculadora HP COLORES PRIME Pza.', 'codebarre': '888182912348'}"
48,warning,cantidad negativa -10; se cargo como 0,"{'Articulo': 'Flash Memory HP 32GB 32GB Pza.', 'codebarre': 'FLASHHP32GB'}"
49,warning,cantidad negativa -1; se cargo como 0,"{'Articulo': 'Tinta NEGRA INKMATE 100 CANON 100ML Pza.', 'codebarre': 'TINTA100N'}"
53,warning,cantidad negativa -5; se cargo como 0,"{'Articulo': 'MONOPIE VIVITAR 67 67"" Pza.', 'codebarre': '681066856314'}"
54,warning,cantidad negativa -1900; se cargo como 0,"{'Articulo': 'Tapas Dvd MAZA 7MM 2 DISCOS DVD Pza.', 'codebarre': 'TAPADVD7'}"
55,warning,cantidad negativa -931; se cargo como 0,"{'Articulo': 'TAPAS CD 7MM .', 'codebarre': 'TAPACD7'}"
59,warning,cantidad negativa -4377; se cargo como 0,"{'Articulo': 'Sobres Papel BLANCO 1 JMAX Pza.', 'codebarre': 'SOBREPAPELBLA'}"
63,warning,cantidad negativa -211; se cargo como 0,"{'Articulo': 'Sobres Plasticos JMAX 2CD PLASTICO Pza.', 'codebarre': 'SOBREPLASTICO'}"
73,warning,cantidad negativa -2; se cargo como 0,"{'Articulo': 'TINTA INKMATE LITRO NEGRO 1 CANON Pza.', 'codebarre': 'INKMATECN'}"
82,warning,cantidad negativa -52; se cargo como 0,"{'Articulo': '14 MM BLANCO', 'codebarre': 'TAPACOLORB14'}"
83,warning,cantidad negativa -434; se cargo como 0,"{'Articulo': '14 MM CLEAR', 'codebarre': 'TAPACOLORC14'}"
84,warning,cantidad negativa -14; se cargo como 0,"{'Articulo': 'TAPAS BLU 4U', 'codebarre': 'TAPABLU4U'}"
93,warning,cantidad negativa -48; se cargo como 0,"{'Articulo': '6U TAPAS DVD', 'codebarre': 'TAPADVD6U'}"
94,warning,cantidad negativa -22; se cargo como 0,"{'Articulo': '10U TAPAS DVD.', 'codebarre': 'TAPADVD10U'}"
96,warning,cantidad negativa -177; se cargo como 0,"{'Articulo': 'TAPAS CD ACRLICAS NEGRAS', 'codebarre': 'TAPAACRINE'}"
106,warning,cantidad negativa -1; se cargo como 0,"{'Articulo': 'BATERIA 9V DURACELL 9V ALCALINA Pza.', 'codebarre': '041333001043'}"
107,warning,cantidad negativa -23; se cargo como 0,"{'Articulo': 'PILA ALCALINA AA DURACELL AA ALCALINA PARES', 'codebarre': '041333900483'}"
114,warning,cantidad negativa -2; se cargo como 0,"{'Articulo': 'POLLERA ALUMINIO FOCO 2 FOCOS Pza.', 'codebarre': 'POLLERA2FOCOS'}"
119,warning,cantidad negativa -1; se cargo como 0,"{'Articulo': 'TINTA INKMATE CIAN LITRO 1 LITRO EPSON Pza.', 'codebarre': 'TINTAINKECIAN'}"
163,warning,cantidad negativa -1; se cargo como 0,"{'Articulo': 'ESTUCHE PARA CD 40U 40 CUADRADO Pza.', 'codebarre': 'ESTUCHE40'}"
167,warning,codebarre duplicado; se sobrescribira el mismo documento,"{'Articulo': 'Sobres Plasticos JMAX 2CD PLASTICO Pza.', 'codebarre': 'SOBREPLASTICO'}"
168,warning,codebarre duplicado; se sobrescribira el mismo documento,"{'Articulo': 'SOBRE PAPEL COLOR CD 1 CD Pza.', 'codebarre': 'SOBREPACO'}"
169,warning,codebarre duplicado; se sobrescribira el mismo documento,"{'Articulo': 'Tinta EPSON 70 ml cian 6642 Pza.', 'codebarre': '010343885301'}"
170,warning,codebarre duplicado; se sobrescribira el mismo documento,"{'Articulo': 'Tinta EPSON 70 ml magenta 6643 Pza.', 'codebarre': '010343885318'}"
171,warning,codebarre duplicado; se sobrescribira el mismo documento,"{'Articulo': 'Tinta EPSON 70 ml amarillo 6644 Pza.', 'codebarre': '010343885325'}"
172,warning,codebarre duplicado; se sobrescribira el mismo documento,"{'Articulo': 'Tinta EPSON 70 ml negro 6641 Pza.', 'codebarre': '010343885295'}"
177,warning,codebarre duplicado; se sobrescribira el mismo documento,"{'Articulo': 'Bolsa CD BELEN 100 CD Pza.', 'codebarre': 'BOLSACD'}"
179,warning,codebarre duplicado; se sobrescribira el mismo documento,"{'Articulo': 'TAPAS CD ACRLICAS 1 NEGRA', 'codebarre': 'TAPAACRINE'}"
180,warning,codebarre duplicado; se sobrescribira el mismo documento,"{'Articulo': 'TAPAS BLU 4U', 'codebarre': 'TAPABLU4U'}"
181,warning,codebarre duplicado; se sobrescribira el mismo documento,"{'Articulo': 'TAPAS DVD COLOR BLANCO 14 MM 2 JMAX Pza.', 'codebarre': 'TAPACOLORB14'}"
182,warning,codebarre duplicado; se sobrescribira el mismo documento,"{'Articulo': 'TAPAS CD 7MM', 'codebarre': 'TAPACD7'}"
184,warning,codebarre duplicado; se sobrescribira el mismo documento,"{'Articulo': 'TAPAS DVD 4U JMAX 4 DVD Pza.', 'codebarre': 'TAPADVD4U'}"
185,warning,codebarre duplicado; se sobrescribira el mismo documento,"{'Articulo': 'TAPAS DVD 6U JMAX 6 DVD Pza.', 'codebarre': 'TAPADVD6U'}"
186,warning,codebarre duplicado; se sobrescribira el mismo documento,"{'Articulo': 'TAPAS DVD 10U JMAX 10 DVD Pza.', 'codebarre': 'TAPADVD10U'}"
187,warning,codebarre duplicado; se sobrescribira el mismo documento,"{'Articulo': 'Sobres Papel BLANCO 1 JMAX Pza.', 'codebarre': 'SOBREPAPELBLA'}"
188,warning,codebarre duplicado; se sobrescribira el mismo documento,"{'Articulo': 'TAPAS DVD 12U JMAX 12 DVD Pza.', 'codebarre': 'TAPADVD12U'}"
192,warning,codebarre duplicado; se sobrescribira el mismo documento,"{'Articulo': 'Tinta NEGRA INKMATE 100 CANON 100ML Pza.', 'codebarre': 'TINTA100N'}"
193,warning,codebarre duplicado; se sobrescribira el mismo documento,"{'Articulo': 'TINTA CIAN INKMATE 100 CANON 100ML Pza.', 'codebarre': 'TINTA100C'}"
194,warning,codebarre duplicado; se sobrescribira el mismo documento,"{'Articulo': 'TINTA MAGENTA INKMATE 100 CANON 100ML Pza.', 'codebarre': 'TINTA100M'}"
195,warning,cantidad negativa -4; se cargo como 0,"{'Articulo': 'TINTA AMARILLA INKMATE 100 CANON 100ML Pza.', 'codebarre': 'TINTA100A'}"
195,warning,codebarre duplicado; se sobrescribira el mismo documento,"{'Articulo': 'TINTA AMARILLA INKMATE 100 CANON 100ML Pza.', 'codebarre': 'TINTA100A'}"
197,warning,codebarre duplicado; se sobrescribira el mismo documento,"{'Articulo': 'TINTA JHOROMI 1 LITRO NEGRO Pza.', 'codebarre': 'JHOROMINE'}"
198,warning,cantidad negativa -5; se cargo como 0,"{'Articulo': 'TINTA JHOROMI 1 LITRO AMARILLO Pza.', 'codebarre': 'JHOROMIAM'}"
198,warning,codebarre duplicado; se sobrescribira el mismo documento,"{'Articulo': 'TINTA JHOROMI 1 LITRO AMARILLO Pza.', 'codebarre': 'JHOROMIAM'}"
199,warning,codebarre duplicado; se sobrescribira el mismo documento,"{'Articulo': 'TINTA JHOROMI 1 LITRO ROSADO Pza.', 'codebarre': 'JHOROMIRO'}"
200,warning,codebarre duplicado; se sobrescribira el mismo documento,"{'Articulo': 'TINTA JHOROMI 1 LITRO CELESTE Pza.', 'codebarre': 'JHOROMICE'}"
201,warning,codebarre duplicado; se sobrescribira el mismo documento,"{'Articulo': 'Tapas Dvd 14MM JMAX 2D DVD Pza.', 'codebarre': 'TAPASDVD14N'}"
203,warning,codebarre duplicado; se sobrescribira el mismo documento,"{'Articulo': 'Telefono Panasonic pantalla TS880MX Pza.', 'codebarre': 'KX-TS880MXW'}"
204,warning,cantidad negativa -5; se cargo como 0,"{'Articulo': 'ESTUCHE DE CD HOLDER 112 Pza.', 'codebarre': 'ESTUCHE CD112'}"
205,warning,codebarre duplicado; se sobrescribira el mismo documento,"{'Articulo': 'ESTUCHE TELA SONY PSP Pza.', 'codebarre': 'ESTUCHEPSP'}"
